run_id,trial_id,kp,time,x,y,z,error_x,error_y,error_z
20260827_112652,1,0.2,0.1,-100.0,100.0,1.5,-100.0,100.0,0.5
20260827_112652,1,0.2,0.2,-100.0,100.0,1.5,-100.0,100.0,0.5
20260827_112652,1,0.2,0.30000000000000004,-100.0,100.0,1.5,-100.0,100.0,0.5
20260827_112652,1,0.2,0.4,-98.0,98.0,1.4905747126436781,-98.0,98.0,0.49057471264367813
20260827_112652,1,0.2,0.5,-96.04,96.04,1.4811494252873563,-96.04,96.04,0.48114942528735627
20260827_112652,1,0.2,0.6000000000000001,-94.10000000000001,94.12,1.472385380343536,-94.10000000000001,94.12,0.47238538034353605
20260827_112652,1,0.2,0.7000000000000001,-92.2,92.24000000000001,1.4636213353997158,-92.2,92.24000000000001,0.46362133539971584
20260827_112652,1,0.2,0.8,-90.34,90.4,1.4548572904558956,-90.34,90.4,0.4548572904558956
20260827_112652,1,0.2,0.9,-88.52000000000001,88.60000000000001,1.4460932455120754,-88.52000000000001,88.60000000000001,0.4460932455120754
20260827_112652,1,0.2,1.0,-86.74000000000001,86.84,1.4379613773802074,-86.74000000000001,86.84,0.43796137738020735
20260827_112652,1,0.2,1.1,-85.00000000000001,85.12,1.4298295092483393,-85.00000000000001,85.12,0.4298295092483393
20260827_112652,1,0.2,1.2000000000000002,-83.30000000000001,83.42,1.4216976411164712,-83.30000000000001,83.42,0.42169764111647123
20260827_112652,1,0.2,1.3,-81.62,81.76,1.414170759396041,-81.62,81.76,0.4141707593960411
20260827_112652,1,0.2,1.4000000000000001,-79.98,80.14,1.406643877675611,-79.98,80.14,0.40664387767561094
20260827_112652,1,0.2,1.5,-78.38000000000001,78.54,1.3991169959551808,-78.38000000000001,78.54,0.3991169959551808
20260827_112652,1,0.2,1.6,-76.80000000000001,76.98,1.3915901142347507,-76.80000000000001,76.98,0.39159011423475065
20260827_112652,1,0.2,1.7000000000000002,-75.26,75.46000000000001,1.3840632325143205,-75.26,75.46000000000001,0.3840632325143205
20260827_112652,1,0.2,1.8,-73.74000000000001,73.96000000000001,1.377115864093268,-73.74000000000001,73.96000000000001,0.3771158640932679
20260827_112652,1,0.2,1.9000000000000001,-72.26,72.50000000000001,1.3701684956722153,-72.26,72.50000000000001,0.3701684956722153
20260827_112652,1,0.2,2.0,-70.80000000000001,71.06000000000002,1.3632211272511627,-70.80000000000001,71.06000000000002,0.36322112725116273
20260827_112652,1,0.2,2.1,-69.38000000000001,69.64000000000001,1.3562737588301101,-69.38000000000001,69.64000000000001,0.35627375883011014
20260827_112652,1,0.2,2.2,-67.98,68.26000000000002,1.3498820062527905,-67.98,68.26000000000002,0.34988200625279053
20260827_112652,1,0.2,2.3000000000000003,-66.62,66.90000000000002,1.343490253675471,-66.62,66.90000000000002,0.3434902536754709
20260827_112652,1,0.2,2.4000000000000004,-65.28,65.58000000000001,1.3370985010981513,-65.28,65.58000000000001,0.3370985010981513
20260827_112652,1,0.2,2.5,-63.96,64.28000000000002,1.3307067485208317,-63.96,64.28000000000002,0.3307067485208317
20260827_112652,1,0.2,2.6,-62.68,63.000000000000014,1.324848162662246,-62.68,63.000000000000014,0.3248481626622459
20260827_112652,1,0.2,2.7,-61.42,61.740000000000016,1.3189895768036601,-61.42,61.740000000000016,0.31898957680366014
20260827_112652,1,0.2,2.8000000000000003,-60.18,60.52000000000002,1.3131309909450744,-60.18,60.52000000000002,0.31313099094507435
20260827_112652,1,0.2,2.9000000000000004,-58.96,59.320000000000014,1.3072724050864886,-58.96,59.320000000000014,0.30727240508648856
20260827_112652,1,0.2,3.0,-57.78,58.140000000000015,1.3014138192279028,-57.78,58.140000000000015,0.3014138192279028
20260827_112652,1,0.2,3.1,-56.620000000000005,56.98000000000002,1.2960672845744374,-56.620000000000005,56.98000000000002,0.29606728457443743
20260827_112652,1,0.2,3.2,-55.480000000000004,55.86000000000002,1.290720749920972,-55.480000000000004,55.86000000000002,0.2907207499209721
20260827_112652,1,0.2,3.3000000000000003,-54.36000000000001,54.76000000000002,1.2853742152675067,-54.36000000000001,54.76000000000002,0.2853742152675067
20260827_112652,1,0.2,3.4000000000000004,-53.260000000000005,53.68000000000002,1.2800276806140414,-53.260000000000005,53.68000000000002,0.2800276806140414
20260827_112652,1,0.2,3.5,-52.18000000000001,52.62000000000002,1.274681145960576,-52.18000000000001,52.62000000000002,0.274681145960576
20260827_112652,1,0.2,3.6,-51.120000000000005,51.58000000000002,1.2698267770285372,-51.120000000000005,51.58000000000002,0.2698267770285372
20260827_112652,1,0.2,3.7,-50.080000000000005,50.56000000000002,1.2649724080964984,-50.080000000000005,50.56000000000002,0.26497240809649836
20260827_112652,1,0.2,3.8000000000000003,-49.06,49.56000000000002,1.2601180391644595,-49.06,49.56000000000002,0.2601180391644595
20260827_112652,1,0.2,3.9000000000000004,-48.06,48.58000000000002,1.2552636702324207,-48.06,48.58000000000002,0.2552636702324207
20260827_112652,1,0.2,4.0,-47.080000000000005,47.62000000000002,1.2504093013003819,-47.080000000000005,47.62000000000002,0.25040930130038186
20260827_112652,1,0.2,4.1000000000000005,-46.120000000000005,46.68000000000002,1.2460283489194295,-46.120000000000005,46.68000000000002,0.24602834891942948
20260827_112652,1,0.2,4.2,-45.18000000000001,45.76000000000002,1.241647396538477,-45.18000000000001,45.76000000000002,0.2416473965384771
20260827_112652,1,0.2,4.3,-44.260000000000005,44.86000000000002,1.2372664441575247,-44.260000000000005,44.86000000000002,0.23726644415752474
20260827_112652,1,0.2,4.4,-43.36000000000001,43.98000000000002,1.2328854917765724,-43.36000000000001,43.98000000000002,0.23288549177657236
20260827_112652,1,0.2,4.5,-42.480000000000004,43.12000000000002,1.22850453939562,-42.480000000000004,43.12000000000002,0.22850453939562
20260827_112652,1,0.2,4.6000000000000005,-41.620000000000005,42.26000000000002,1.2245793057507601,-41.620000000000005,42.26000000000002,0.22457930575076013
20260827_112652,1,0.2,4.7,-40.78,41.420000000000016,1.2206540721059003,-40.78,41.420000000000016,0.22065407210590027
20260827_112652,1,0.2,4.800000000000001,-39.96,40.600000000000016,1.2167288384610404,-39.96,40.600000000000016,0.2167288384610404
20260827_112652,1,0.2,4.9,-39.160000000000004,39.80000000000002,1.2128036048161805,-39.160000000000004,39.80000000000002,0.21280360481618055
20260827_112652,1,0.2,5.0,-38.36000000000001,39.02000000000002,1.2088783711713207,-38.36000000000001,39.02000000000002,0.2088783711713207
20260827_112652,1,0.2,5.1000000000000005,-37.580000000000005,38.240000000000016,1.2049531375264608,-37.580000000000005,38.240000000000016,0.20495313752646083
20260827_112652,1,0.2,5.2,-36.82000000000001,37.48000000000002,1.2014668989943507,-36.82000000000001,37.48000000000002,0.20146689899435066
